Binary representation,Error,Features selected,Lookup value,Penalty factor
010010110,0.36923076923076925,"(1, 4, 6, 7)",0.40923076923076923,0.01
010010101,0.4307692307692308,"(1, 4, 6, 8)",0.4707692307692308,0.01
010010011,0.5384615384615384,"(1, 4, 7, 8)",0.5784615384615385,0.01
010001110,0.36923076923076925,"(1, 5, 6, 7)",0.40923076923076923,0.01
010001101,0.4461538461538461,"(1, 5, 6, 8)",0.4861538461538461,0.01
010001011,0.4461538461538461,"(1, 5, 7, 8)",0.4861538461538461,0.01
010000111,0.36923076923076925,"(1, 6, 7, 8)",0.40923076923076923,0.01
001111000,0.36923076923076925,"(2, 3, 4, 5)",0.40923076923076923,0.01
001110100,0.3846153846153846,"(2, 3, 4, 6)",0.42461538461538456,0.01
001110010,0.36923076923076925,"(2, 3, 4, 7)",0.40923076923076923,0.01
001110001,0.36923076923076925,"(2, 3, 4, 8)",0.40923076923076923,0.01
001101100,0.3538461538461538,"(2, 3, 5, 6)",0.3938461538461538,0.01
001101010,0.3384615384615385,"(2, 3, 5, 7)",0.37846153846153846,0.01
001101001,0.3384615384615385,"(2, 3, 5, 8)",0.37846153846153846,0.01
001100110,0.3538461538461538,"(2, 3, 6, 7)",0.3938461538461538,0.01
001100101,0.3538461538461538,"(2, 3, 6, 8)",0.3938461538461538,0.01
001100011,0.3384615384615385,"(2, 3, 7, 8)",0.37846153846153846,0.01
001011100,0.3538461538461538,"(2, 4, 5, 6)",0.3938461538461538,0.01
001011010,0.4461538461538461,"(2, 4, 5, 7)",0.4861538461538461,0.01
001011001,0.46153846153846156,"(2, 4, 5, 8)",0.5015384615384616,0.01
001010110,0.3538461538461538,"(2, 4, 6, 7)",0.3938461538461538,0.01
001010101,0.3538461538461538,"(2, 4, 6, 8)",0.3938461538461538,0.01
001010011,0.4307692307692308,"(2, 4, 7, 8)",0.4707692307692308,0.01
001001110,0.32307692307692304,"(2, 5, 6, 7)",0.363076923076923,0.01
001001101,0.3384615384615385,"(2, 5, 6, 8)",0.37846153846153846,0.01
001001011,0.41538461538461535,"(2, 5, 7, 8)",0.45538461538461533,0.01
001000111,0.32307692307692304,"(2, 6, 7, 8)",0.363076923076923,0.01
000111100,0.3384615384615385,"(3, 4, 5, 6)",0.37846153846153846,0.01
000111010,0.3384615384615385,"(3, 4, 5, 7)",0.37846153846153846,0.01
000111001,0.3538461538461538,"(3, 4, 5, 8)",0.3938461538461538,0.01
000110110,0.32307692307692304,"(3, 4, 6, 7)",0.363076923076923,0.01
000110101,0.4,"(3, 4, 6, 8)",0.44,0.01
000110011,0.3538461538461538,"(3, 4, 7, 8)",0.3938461538461538,0.01
000101110,0.3538461538461538,"(3, 5, 6, 7)",0.3938461538461538,0.01
000101101,0.3384615384615385,"(3, 5, 6, 8)",0.37846153846153846,0.01
000101011,0.3846153846153846,"(3, 5, 7, 8)",0.42461538461538456,0.01
000100111,0.32307692307692304,"(3, 6, 7, 8)",0.363076923076923,0.01
000011110,0.3846153846153846,"(4, 5, 6, 7)",0.42461538461538456,0.01
000011101,0.4307692307692308,"(4, 5, 6, 8)",0.4707692307692308,0.01
000011011,0.46153846153846156,"(4, 5, 7, 8)",0.5015384615384616,0.01
000010111,0.36923076923076925,"(4, 6, 7, 8)",0.40923076923076923,0.01
000001111,0.41538461538461535,"(5, 6, 7, 8)",0.45538461538461533,0.01
111110000,0.29230769230769227,"(0, 1, 2, 3, 4)",0.34230769230769226,0.01
111101000,0.27692307692307694,"(0, 1, 2, 3, 5)",0.3269230769230769,0.01
111100100,0.32307692307692304,"(0, 1, 2, 3, 6)",0.37307692307692303,0.01
111100010,0.3076923076923077,"(0, 1, 2, 3, 7)",0.3576923076923077,0.01
111100001,0.27692307692307694,"(0, 1, 2, 3, 8)",0.3269230769230769,0.01
111011000,0.36923076923076925,"(0, 1, 2, 4, 5)",0.41923076923076924,0.01
111010100,0.3538461538461538,"(0, 1, 2, 4, 6)",0.4038461538461538,0.01
111010010,0.36923076923076925,"(0, 1, 2, 4, 7)",0.41923076923076924,0.01
111010001,0.36923076923076925,"(0, 1, 2, 4, 8)",0.41923076923076924,0.01
111001100,0.3538461538461538,"(0, 1, 2, 5, 6)",0.4038461538461538,0.01
111001010,0.3538461538461538,"(0, 1, 2, 5, 7)",0.4038461538461538,0.01
111001001,0.36923076923076925,"(0, 1, 2, 5, 8)",0.41923076923076924,0.01
111000110,0.3384615384615385,"(0, 1, 2, 6, 7)",0.38846153846153847,0.01
111000101,0.3384615384615385,"(0, 1, 2, 6, 8)",0.38846153846153847,0.01
111000011,0.3538461538461538,"(0, 1, 2, 7, 8)",0.4038461538461538,0.01
110111000,0.32307692307692304,"(0, 1, 3, 4, 5)",0.37307692307692303,0.01
110110100,0.3076923076923077,"(0, 1, 3, 4, 6)",0.3576923076923077,0.01
110110010,0.36923076923076925,"(0, 1, 3, 4, 7)",0.41923076923076924,0.01
110110001,0.3076923076923077,"(0, 1, 3, 4, 8)",0.3576923076923077,0.01
110101100,0.32307692307692304,"(0, 1, 3, 5, 6)",0.37307692307692303,0.01
110101010,0.32307692307692304,"(0, 1, 3, 5, 7)",0.37307692307692303,0.01
110101001,0.32307692307692304,"(0, 1, 3, 5, 8)",0.37307692307692303,0.01
110100110,0.32307692307692304,"(0, 1, 3, 6, 7)",0.37307692307692303,0.01
110100101,0.2615384615384615,"(0, 1, 3, 6, 8)",0.3115384615384615,0.01
110100011,0.3538461538461538,"(0, 1, 3, 7, 8)",0.4038461538461538,0.01
110011100,0.3846153846153846,"(0, 1, 4, 5, 6)",0.43461538461538457,0.01
110011010,0.36923076923076925,"(0, 1, 4, 5, 7)",0.41923076923076924,0.01
110011001,0.3846153846153846,"(0, 1, 4, 5, 8)",0.43461538461538457,0.01
110010110,0.3384615384615385,"(0, 1, 4, 6, 7)",0.38846153846153847,0.01
110010101,0.3846153846153846,"(0, 1, 4, 6, 8)",0.43461538461538457,0.01
110010011,0.36923076923076925,"(0, 1, 4, 7, 8)",0.41923076923076924,0.01
