Features selected,Binary representation,Error,Lookup value
"(3, 6, 7, 9)",0001001101,0.2753242201191728,0.23532422011917278
"(3, 6, 8, 9)",0001001011,0.21819137749737116,0.17819137749737116
"(3, 7, 8, 9)",0001000111,0.23378899404136,0.19378899404136
"(4, 5, 6, 7)",0000111100,0.27549947423764454,0.23549947423764453
"(4, 5, 6, 8)",0000111010,0.22134595162986326,0.18134595162986325
"(4, 5, 6, 9)",0000111001,0.27865404837013674,0.23865404837013673
"(4, 5, 7, 8)",0000110110,0.23711882229232384,0.19711882229232383
"(4, 5, 7, 9)",0000110101,0.2837364178058185,0.24373641780581848
"(4, 5, 8, 9)",0000110011,0.2236242551699965,0.1836242551699965
"(4, 6, 7, 8)",0000101110,0.22344900105152476,0.18344900105152476
"(4, 6, 7, 9)",0000101101,0.27549947423764454,0.23549947423764453
"(4, 6, 8, 9)",0000101011,0.2208201892744479,0.1808201892744479
"(4, 7, 8, 9)",0000100111,0.23151069050122675,0.19151069050122674
"(5, 6, 7, 8)",0000011110,0.21538731160182267,0.17538731160182267
"(5, 6, 7, 9)",0000011101,0.27059235892043465,0.23059235892043464
"(5, 6, 8, 9)",0000011011,0.21538731160182267,0.17538731160182267
"(5, 7, 8, 9)",0000010111,0.21819137749737116,0.17819137749737116
"(6, 7, 8, 9)",0000001111,0.20715036803364884,0.16715036803364883
"(0, 1, 2, 3, 4)",1111100000,0.251664914125482,0.201664914125482
"(0, 1, 2, 3, 5)",1111010000,0.251664914125482,0.201664914125482
"(0, 1, 2, 3, 6)",1111001000,0.25236593059936907,0.20236593059936908
"(0, 1, 2, 3, 7)",1111000100,0.251664914125482,0.201664914125482
"(0, 1, 2, 3, 8)",1111000010,0.1929547844374343,0.1429547844374343
"(0, 1, 2, 3, 9)",1111000001,0.251664914125482,0.201664914125482
"(0, 1, 2, 4, 5)",1110110000,0.251664914125482,0.201664914125482
"(0, 1, 2, 4, 6)",1110101000,0.25236593059936907,0.20236593059936908
"(0, 1, 2, 4, 7)",1110100100,0.251664914125482,0.201664914125482
"(0, 1, 2, 4, 8)",1110100010,0.1929547844374343,0.1429547844374343
"(0, 1, 2, 4, 9)",1110100001,0.251664914125482,0.201664914125482
"(0, 1, 2, 5, 6)",1110011000,0.25236593059936907,0.20236593059936908
"(0, 1, 2, 5, 7)",1110010100,0.251664914125482,0.201664914125482
"(0, 1, 2, 5, 8)",1110010010,0.1929547844374343,0.1429547844374343
"(0, 1, 2, 5, 9)",1110010001,0.251664914125482,0.201664914125482
"(0, 1, 2, 6, 7)",1110001100,0.25236593059936907,0.20236593059936908
"(0, 1, 2, 6, 8)",1110001010,0.18822292323869616,0.13822292323869617
"(0, 1, 2, 6, 9)",1110001001,0.24956186470382058,0.1995618647038206
"(0, 1, 2, 7, 8)",1110000110,0.1936558009113214,0.1436558009113214
"(0, 1, 2, 7, 9)",1110000101,0.251664914125482,0.201664914125482
"(0, 1, 2, 8, 9)",1110000011,0.1929547844374343,0.1429547844374343
"(0, 1, 3, 4, 5)",1101110000,0.27479845776375744,0.22479845776375745
"(0, 1, 3, 4, 6)",1101101000,0.2753242201191728,0.2253242201191728
"(0, 1, 3, 4, 7)",1101100100,0.27479845776375744,0.22479845776375745
"(0, 1, 3, 4, 8)",1101100010,0.20189274447949523,0.15189274447949525
"(0, 1, 3, 4, 9)",1101100001,0.27479845776375744,0.22479845776375745
"(0, 1, 3, 5, 6)",1101011000,0.2753242201191728,0.2253242201191728
"(0, 1, 3, 5, 7)",1101010100,0.2739221871713985,0.2239221871713985
"(0, 1, 3, 5, 8)",1101010010,0.20189274447949523,0.15189274447949525
"(0, 1, 3, 5, 9)",1101010001,0.2739221871713985,0.2239221871713985
"(0, 1, 3, 6, 7)",1101001100,0.2753242201191728,0.2253242201191728
"(0, 1, 3, 6, 8)",1101001010,0.1971608832807571,0.1471608832807571
"(0, 1, 3, 6, 9)",1101001001,0.2725201542236243,0.2225201542236243
"(0, 1, 3, 7, 8)",1101000110,0.20259376095338244,0.15259376095338245
"(0, 1, 3, 7, 9)",1101000101,0.2739221871713985,0.2239221871713985
"(0, 1, 3, 8, 9)",1101000011,0.20014020329477744,0.15014020329477745
"(0, 1, 4, 5, 6)",1100111000,0.2753242201191728,0.2253242201191728
"(0, 1, 4, 5, 7)",1100110100,0.27479845776375744,0.22479845776375745
"(0, 1, 4, 5, 8)",1100110010,0.20189274447949523,0.15189274447949525
"(0, 1, 4, 5, 9)",1100110001,0.27479845776375744,0.22479845776375745
"(0, 1, 4, 6, 7)",1100101100,0.2753242201191728,0.2253242201191728
"(0, 1, 4, 6, 8)",1100101010,0.1971608832807571,0.1471608832807571
"(0, 1, 4, 6, 9)",1100101001,0.2725201542236243,0.2225201542236243
"(0, 1, 4, 7, 8)",1100100110,0.20259376095338244,0.15259376095338245
"(0, 1, 4, 7, 9)",1100100101,0.27479845776375744,0.22479845776375745
"(0, 1, 4, 8, 9)",1100100011,0.20014020329477744,0.15014020329477745
"(0, 1, 5, 6, 7)",1100011100,0.27620049071153174,0.22620049071153175
