Features selected,Binary representation,Error,Lookup value
"(0, 1, 4, 5, 6, 7, 8)",110011111,0.39534883720930236,0.32534883720930236
"(0, 2, 3, 4, 5, 6, 7)",101111110,0.37209302325581395,0.30209302325581394
"(0, 2, 3, 4, 5, 6, 8)",101111101,0.34883720930232553,0.27883720930232553
"(0, 2, 3, 4, 5, 7, 8)",101111011,0.37209302325581395,0.30209302325581394
"(0, 2, 3, 4, 6, 7, 8)",101110111,0.37209302325581395,0.30209302325581394
"(0, 2, 3, 5, 6, 7, 8)",101101111,0.37209302325581395,0.30209302325581394
"(0, 2, 4, 5, 6, 7, 8)",101011111,0.3023255813953488,0.2323255813953488
"(0, 3, 4, 5, 6, 7, 8)",100111111,0.2558139534883721,0.1858139534883721
"(1, 2, 3, 4, 5, 6, 7)",011111110,0.37209302325581395,0.30209302325581394
"(1, 2, 3, 4, 5, 6, 8)",011111101,0.3023255813953488,0.2323255813953488
"(1, 2, 3, 4, 5, 7, 8)",011111011,0.37209302325581395,0.30209302325581394
"(1, 2, 3, 4, 6, 7, 8)",011110111,0.37209302325581395,0.30209302325581394
"(1, 2, 3, 5, 6, 7, 8)",011101111,0.37209302325581395,0.30209302325581394
"(1, 2, 4, 5, 6, 7, 8)",011011111,0.32558139534883723,0.2555813953488372
"(1, 3, 4, 5, 6, 7, 8)",010111111,0.2558139534883721,0.1858139534883721
"(2, 3, 4, 5, 6, 7, 8)",001111111,0.37209302325581395,0.30209302325581394
"(0, 1, 2, 3, 4, 5, 6, 7)",111111110,0.37209302325581395,0.29209302325581393
"(0, 1, 2, 3, 4, 5, 6, 8)",111111101,0.3023255813953488,0.2223255813953488
"(0, 1, 2, 3, 4, 5, 7, 8)",111111011,0.37209302325581395,0.29209302325581393
"(0, 1, 2, 3, 4, 6, 7, 8)",111110111,0.37209302325581395,0.29209302325581393
"(0, 1, 2, 3, 5, 6, 7, 8)",111101111,0.37209302325581395,0.29209302325581393
"(0, 1, 2, 4, 5, 6, 7, 8)",111011111,0.3023255813953488,0.2223255813953488
"(0, 1, 3, 4, 5, 6, 7, 8)",110111111,0.2558139534883721,0.1758139534883721
"(0, 2, 3, 4, 5, 6, 7, 8)",101111111,0.37209302325581395,0.29209302325581393
"(1, 2, 3, 4, 5, 6, 7, 8)",011111111,0.37209302325581395,0.29209302325581393
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",111111111,0.37209302325581395,0.282093023255814
